xdm_path,xdm_title,xdm_type,cja_id,cja_name,cja_type
commerce.shipping.address.statusReason,Status reason,string,,,
commerce.shipping.address.street1,Street 1,string,,,
commerce.shipping.address.street2,Street 2,string,,,
commerce.shipping.address.street3,Street 3,string,,,
commerce.shipping.address.street4,Street 4,string,,,
commerce.shipping.currencyCode,Currency code,string,,,
commerce.shipping.shipDate,Ship Date,string,,,
commerce.shipping.shippingAmount,Shipping Amount,number,,,
commerce.shipping.shippingDestination,Shipping Destination,string,,,
commerce.shipping.shippingMethod,Shipping Method,string,,,
commerce.shipping.trackingNumber,Tracking Number,number,,,
commerce.shipping.trackingURL,Tracking URL,string,,,
productListItems,Product List Items,array,,,
productListItems._id,Line item ID.,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar1,eVar1,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar10,eVar10,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar100,eVar100,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar101,eVar101,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar102,eVar102,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar103,eVar103,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar104,eVar104,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar105,eVar105,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar106,eVar106,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar107,eVar107,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar108,eVar108,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar109,eVar109,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar11,eVar11,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar110,eVar110,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar111,eVar111,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar112,eVar112,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar113,eVar113,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar114,eVar114,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar115,eVar115,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar116,eVar116,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar117,eVar117,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar118,eVar118,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar119,eVar119,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar12,eVar12,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar120,eVar120,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar121,eVar121,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar122,eVar122,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar123,eVar123,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar124,eVar124,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar125,eVar125,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar126,eVar126,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar127,eVar127,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar128,eVar128,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar129,eVar129,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar13,eVar13,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar130,eVar130,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar131,eVar131,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar132,eVar132,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar133,eVar133,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar134,eVar134,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar135,eVar135,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar136,eVar136,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar137,eVar137,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar138,eVar138,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar139,eVar139,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar14,eVar14,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar140,eVar140,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar141,eVar141,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar142,eVar142,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar143,eVar143,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar144,eVar144,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar145,eVar145,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar146,eVar146,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar147,eVar147,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar148,eVar148,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar149,eVar149,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar15,eVar15,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar150,eVar150,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar151,eVar151,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar152,eVar152,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar153,eVar153,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar154,eVar154,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar155,eVar155,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar156,eVar156,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar157,eVar157,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar158,eVar158,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar159,eVar159,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar16,eVar16,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar160,eVar160,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar161,eVar161,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar162,eVar162,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar163,eVar163,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar164,eVar164,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar165,eVar165,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar166,eVar166,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar167,eVar167,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar168,eVar168,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar169,eVar169,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar17,eVar17,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar170,eVar170,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar171,eVar171,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar172,eVar172,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar173,eVar173,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar174,eVar174,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar175,eVar175,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar176,eVar176,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar177,eVar177,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar178,eVar178,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar179,eVar179,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar18,eVar18,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar180,eVar180,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar181,eVar181,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar182,eVar182,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar183,eVar183,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar184,eVar184,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar185,eVar185,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar186,eVar186,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar187,eVar187,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar188,eVar188,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar189,eVar189,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar19,eVar19,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar190,eVar190,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar191,eVar191,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar192,eVar192,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar193,eVar193,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar194,eVar194,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar195,eVar195,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar196,eVar196,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar197,eVar197,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar198,eVar198,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar199,eVar199,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar2,eVar2,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar20,eVar20,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar200,eVar200,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar201,eVar201,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar202,eVar202,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar203,eVar203,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar204,eVar204,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar205,eVar205,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar206,eVar206,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar207,eVar207,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar208,eVar208,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar209,eVar209,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar21,eVar21,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar210,eVar210,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar211,eVar211,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar212,eVar212,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar213,eVar213,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar214,eVar214,string,,,
