xdm_path,xdm_title,xdm_type,cja_id,cja_name,cja_type
productListItems._experience.analytics.event301to400.event351.value,,number,,,
productListItems._experience.analytics.event301to400.event352.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event352.value,,number,,,
productListItems._experience.analytics.event301to400.event353.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event353.value,,number,,,
productListItems._experience.analytics.event301to400.event354.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event354.value,,number,,,
productListItems._experience.analytics.event301to400.event355.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event355.value,,number,,,
productListItems._experience.analytics.event301to400.event356.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event356.value,,number,,,
productListItems._experience.analytics.event301to400.event357.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event357.value,,number,,,
productListItems._experience.analytics.event301to400.event358.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event358.value,,number,,,
productListItems._experience.analytics.event301to400.event359.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event359.value,,number,,,
productListItems._experience.analytics.event301to400.event360.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event360.value,,number,,,
productListItems._experience.analytics.event301to400.event361.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event361.value,,number,,,
productListItems._experience.analytics.event301to400.event362.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event362.value,,number,,,
productListItems._experience.analytics.event301to400.event363.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event363.value,,number,,,
productListItems._experience.analytics.event301to400.event364.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event364.value,,number,,,
productListItems._experience.analytics.event301to400.event365.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event365.value,,number,,,
productListItems._experience.analytics.event301to400.event366.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event366.value,,number,,,
productListItems._experience.analytics.event301to400.event367.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event367.value,,number,,,
productListItems._experience.analytics.event301to400.event368.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event368.value,,number,,,
productListItems._experience.analytics.event301to400.event369.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event369.value,,number,,,
productListItems._experience.analytics.event301to400.event370.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event370.value,,number,,,
productListItems._experience.analytics.event301to400.event371.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event371.value,,number,,,
productListItems._experience.analytics.event301to400.event372.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event372.value,,number,,,
productListItems._experience.analytics.event301to400.event373.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event373.value,,number,,,
productListItems._experience.analytics.event301to400.event374.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event374.value,,number,,,
productListItems._experience.analytics.event301to400.event375.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event375.value,,number,,,
productListItems._experience.analytics.event301to400.event376.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event376.value,,number,,,
productListItems._experience.analytics.event301to400.event377.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event377.value,,number,,,
productListItems._experience.analytics.event301to400.event378.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event378.value,,number,,,
productListItems._experience.analytics.event301to400.event379.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event379.value,,number,,,
productListItems._experience.analytics.event301to400.event380.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event380.value,,number,,,
productListItems._experience.analytics.event301to400.event381.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event381.value,,number,,,
productListItems._experience.analytics.event301to400.event382.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event382.value,,number,,,
productListItems._experience.analytics.event301to400.event383.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event383.value,,number,,,
productListItems._experience.analytics.event301to400.event384.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event384.value,,number,,,
productListItems._experience.analytics.event301to400.event385.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event385.value,,number,,,
productListItems._experience.analytics.event301to400.event386.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event386.value,,number,,,
productListItems._experience.analytics.event301to400.event387.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event387.value,,number,,,
productListItems._experience.analytics.event301to400.event388.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event388.value,,number,,,
productListItems._experience.analytics.event301to400.event389.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event389.value,,number,,,
productListItems._experience.analytics.event301to400.event390.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event390.value,,number,,,
productListItems._experience.analytics.event301to400.event391.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event391.value,,number,,,
productListItems._experience.analytics.event301to400.event392.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event392.value,,number,,,
productListItems._experience.analytics.event301to400.event393.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event393.value,,number,,,
productListItems._experience.analytics.event301to400.event394.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event394.value,,number,,,
productListItems._experience.analytics.event301to400.event395.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event395.value,,number,,,
productListItems._experience.analytics.event301to400.event396.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event396.value,,number,,,
productListItems._experience.analytics.event301to400.event397.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event397.value,,number,,,
productListItems._experience.analytics.event301to400.event398.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event398.value,,number,,,
productListItems._experience.analytics.event301to400.event399.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event399.value,,number,,,
productListItems._experience.analytics.event301to400.event400.id,Unique Identifier,string,,,
productListItems._experience.analytics.event301to400.event400.value,,number,,,
productListItems._experience.analytics.event401to500.event401.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event401.value,,number,,,
productListItems._experience.analytics.event401to500.event402.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event402.value,,number,,,
productListItems._experience.analytics.event401to500.event403.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event403.value,,number,,,
productListItems._experience.analytics.event401to500.event404.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event404.value,,number,,,
productListItems._experience.analytics.event401to500.event405.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event405.value,,number,,,
productListItems._experience.analytics.event401to500.event406.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event406.value,,number,,,
productListItems._experience.analytics.event401to500.event407.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event407.value,,number,,,
productListItems._experience.analytics.event401to500.event408.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event408.value,,number,,,
productListItems._experience.analytics.event401to500.event409.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event409.value,,number,,,
productListItems._experience.analytics.event401to500.event410.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event410.value,,number,,,
productListItems._experience.analytics.event401to500.event411.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event411.value,,number,,,
productListItems._experience.analytics.event401to500.event412.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event412.value,,number,,,
productListItems._experience.analytics.event401to500.event413.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event413.value,,number,,,
productListItems._experience.analytics.event401to500.event414.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event414.value,,number,,,
productListItems._experience.analytics.event401to500.event415.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event415.value,,number,,,
productListItems._experience.analytics.event401to500.event416.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event416.value,,number,,,
productListItems._experience.analytics.event401to500.event417.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event417.value,,number,,,
productListItems._experience.analytics.event401to500.event418.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event418.value,,number,,,
productListItems._experience.analytics.event401to500.event419.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event419.value,,number,,,
productListItems._experience.analytics.event401to500.event420.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event420.value,,number,,,
productListItems._experience.analytics.event401to500.event421.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event421.value,,number,,,
productListItems._experience.analytics.event401to500.event422.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event422.value,,number,,,
productListItems._experience.analytics.event401to500.event423.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event423.value,,number,,,
productListItems._experience.analytics.event401to500.event424.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event424.value,,number,,,
productListItems._experience.analytics.event401to500.event425.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event425.value,,number,,,
productListItems._experience.analytics.event401to500.event426.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event426.value,,number,,,
productListItems._experience.analytics.event401to500.event427.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event427.value,,number,,,
productListItems._experience.analytics.event401to500.event428.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event428.value,,number,,,
productListItems._experience.analytics.event401to500.event429.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event429.value,,number,,,
productListItems._experience.analytics.event401to500.event430.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event430.value,,number,,,
productListItems._experience.analytics.event401to500.event431.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event431.value,,number,,,
productListItems._experience.analytics.event401to500.event432.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event432.value,,number,,,
productListItems._experience.analytics.event401to500.event433.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event433.value,,number,,,
productListItems._experience.analytics.event401to500.event434.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event434.value,,number,,,
productListItems._experience.analytics.event401to500.event435.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event435.value,,number,,,
productListItems._experience.analytics.event401to500.event436.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event436.value,,number,,,
productListItems._experience.analytics.event401to500.event437.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event437.value,,number,,,
productListItems._experience.analytics.event401to500.event438.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event438.value,,number,,,
productListItems._experience.analytics.event401to500.event439.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event439.value,,number,,,
productListItems._experience.analytics.event401to500.event440.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event440.value,,number,,,
productListItems._experience.analytics.event401to500.event441.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event441.value,,number,,,
productListItems._experience.analytics.event401to500.event442.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event442.value,,number,,,
productListItems._experience.analytics.event401to500.event443.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event443.value,,number,,,
productListItems._experience.analytics.event401to500.event444.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event444.value,,number,,,
productListItems._experience.analytics.event401to500.event445.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event445.value,,number,,,
productListItems._experience.analytics.event401to500.event446.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event446.value,,number,,,
productListItems._experience.analytics.event401to500.event447.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event447.value,,number,,,
productListItems._experience.analytics.event401to500.event448.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event448.value,,number,,,
productListItems._experience.analytics.event401to500.event449.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event449.value,,number,,,
productListItems._experience.analytics.event401to500.event450.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event450.value,,number,,,
productListItems._experience.analytics.event401to500.event451.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event451.value,,number,,,
productListItems._experience.analytics.event401to500.event452.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event452.value,,number,,,
productListItems._experience.analytics.event401to500.event453.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event453.value,,number,,,
productListItems._experience.analytics.event401to500.event454.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event454.value,,number,,,
productListItems._experience.analytics.event401to500.event455.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event455.value,,number,,,
productListItems._experience.analytics.event401to500.event456.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event456.value,,number,,,
productListItems._experience.analytics.event401to500.event457.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event457.value,,number,,,
productListItems._experience.analytics.event401to500.event458.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event458.value,,number,,,
productListItems._experience.analytics.event401to500.event459.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event459.value,,number,,,
productListItems._experience.analytics.event401to500.event460.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event460.value,,number,,,
productListItems._experience.analytics.event401to500.event461.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event461.value,,number,,,
productListItems._experience.analytics.event401to500.event462.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event462.value,,number,,,
productListItems._experience.analytics.event401to500.event463.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event463.value,,number,,,
productListItems._experience.analytics.event401to500.event464.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event464.value,,number,,,
productListItems._experience.analytics.event401to500.event465.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event465.value,,number,,,
productListItems._experience.analytics.event401to500.event466.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event466.value,,number,,,
productListItems._experience.analytics.event401to500.event467.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event467.value,,number,,,
productListItems._experience.analytics.event401to500.event468.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event468.value,,number,,,
productListItems._experience.analytics.event401to500.event469.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event469.value,,number,,,
productListItems._experience.analytics.event401to500.event470.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event470.value,,number,,,
productListItems._experience.analytics.event401to500.event471.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event471.value,,number,,,
productListItems._experience.analytics.event401to500.event472.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event472.value,,number,,,
productListItems._experience.analytics.event401to500.event473.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event473.value,,number,,,
productListItems._experience.analytics.event401to500.event474.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event474.value,,number,,,
productListItems._experience.analytics.event401to500.event475.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event475.value,,number,,,
productListItems._experience.analytics.event401to500.event476.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event476.value,,number,,,
productListItems._experience.analytics.event401to500.event477.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event477.value,,number,,,
productListItems._experience.analytics.event401to500.event478.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event478.value,,number,,,
productListItems._experience.analytics.event401to500.event479.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event479.value,,number,,,
productListItems._experience.analytics.event401to500.event480.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event480.value,,number,,,
productListItems._experience.analytics.event401to500.event481.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event481.value,,number,,,
productListItems._experience.analytics.event401to500.event482.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event482.value,,number,,,
productListItems._experience.analytics.event401to500.event483.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event483.value,,number,,,
productListItems._experience.analytics.event401to500.event484.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event484.value,,number,,,
productListItems._experience.analytics.event401to500.event485.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event485.value,,number,,,
productListItems._experience.analytics.event401to500.event486.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event486.value,,number,,,
productListItems._experience.analytics.event401to500.event487.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event487.value,,number,,,
productListItems._experience.analytics.event401to500.event488.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event488.value,,number,,,
productListItems._experience.analytics.event401to500.event489.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event489.value,,number,,,
productListItems._experience.analytics.event401to500.event490.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event490.value,,number,,,
productListItems._experience.analytics.event401to500.event491.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event491.value,,number,,,
productListItems._experience.analytics.event401to500.event492.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event492.value,,number,,,
productListItems._experience.analytics.event401to500.event493.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event493.value,,number,,,
productListItems._experience.analytics.event401to500.event494.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event494.value,,number,,,
productListItems._experience.analytics.event401to500.event495.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event495.value,,number,,,
productListItems._experience.analytics.event401to500.event496.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event496.value,,number,,,
productListItems._experience.analytics.event401to500.event497.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event497.value,,number,,,
productListItems._experience.analytics.event401to500.event498.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event498.value,,number,,,
productListItems._experience.analytics.event401to500.event499.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event499.value,,number,,,
productListItems._experience.analytics.event401to500.event500.id,Unique Identifier,string,,,
productListItems._experience.analytics.event401to500.event500.value,,number,,,
productListItems._experience.analytics.event501to600.event501.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event501.value,,number,,,
productListItems._experience.analytics.event501to600.event502.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event502.value,,number,,,
productListItems._experience.analytics.event501to600.event503.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event503.value,,number,,,
productListItems._experience.analytics.event501to600.event504.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event504.value,,number,,,
productListItems._experience.analytics.event501to600.event505.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event505.value,,number,,,
productListItems._experience.analytics.event501to600.event506.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event506.value,,number,,,
productListItems._experience.analytics.event501to600.event507.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event507.value,,number,,,
productListItems._experience.analytics.event501to600.event508.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event508.value,,number,,,
productListItems._experience.analytics.event501to600.event509.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event509.value,,number,,,
productListItems._experience.analytics.event501to600.event510.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event510.value,,number,,,
productListItems._experience.analytics.event501to600.event511.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event511.value,,number,,,
productListItems._experience.analytics.event501to600.event512.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event512.value,,number,,,
productListItems._experience.analytics.event501to600.event513.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event513.value,,number,,,
productListItems._experience.analytics.event501to600.event514.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event514.value,,number,,,
productListItems._experience.analytics.event501to600.event515.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event515.value,,number,,,
productListItems._experience.analytics.event501to600.event516.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event516.value,,number,,,
productListItems._experience.analytics.event501to600.event517.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event517.value,,number,,,
productListItems._experience.analytics.event501to600.event518.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event518.value,,number,,,
productListItems._experience.analytics.event501to600.event519.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event519.value,,number,,,
productListItems._experience.analytics.event501to600.event520.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event520.value,,number,,,
productListItems._experience.analytics.event501to600.event521.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event521.value,,number,,,
productListItems._experience.analytics.event501to600.event522.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event522.value,,number,,,
productListItems._experience.analytics.event501to600.event523.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event523.value,,number,,,
productListItems._experience.analytics.event501to600.event524.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event524.value,,number,,,
productListItems._experience.analytics.event501to600.event525.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event525.value,,number,,,
productListItems._experience.analytics.event501to600.event526.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event526.value,,number,,,
productListItems._experience.analytics.event501to600.event527.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event527.value,,number,,,
productListItems._experience.analytics.event501to600.event528.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event528.value,,number,,,
productListItems._experience.analytics.event501to600.event529.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event529.value,,number,,,
productListItems._experience.analytics.event501to600.event530.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event530.value,,number,,,
productListItems._experience.analytics.event501to600.event531.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event531.value,,number,,,
productListItems._experience.analytics.event501to600.event532.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event532.value,,number,,,
productListItems._experience.analytics.event501to600.event533.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event533.value,,number,,,
productListItems._experience.analytics.event501to600.event534.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event534.value,,number,,,
productListItems._experience.analytics.event501to600.event535.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event535.value,,number,,,
productListItems._experience.analytics.event501to600.event536.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event536.value,,number,,,
productListItems._experience.analytics.event501to600.event537.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event537.value,,number,,,
productListItems._experience.analytics.event501to600.event538.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event538.value,,number,,,
productListItems._experience.analytics.event501to600.event539.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event539.value,,number,,,
productListItems._experience.analytics.event501to600.event540.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event540.value,,number,,,
productListItems._experience.analytics.event501to600.event541.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event541.value,,number,,,
productListItems._experience.analytics.event501to600.event542.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event542.value,,number,,,
productListItems._experience.analytics.event501to600.event543.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event543.value,,number,,,
productListItems._experience.analytics.event501to600.event544.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event544.value,,number,,,
productListItems._experience.analytics.event501to600.event545.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event545.value,,number,,,
productListItems._experience.analytics.event501to600.event546.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event546.value,,number,,,
productListItems._experience.analytics.event501to600.event547.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event547.value,,number,,,
productListItems._experience.analytics.event501to600.event548.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event548.value,,number,,,
productListItems._experience.analytics.event501to600.event549.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event549.value,,number,,,
productListItems._experience.analytics.event501to600.event550.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event550.value,,number,,,
productListItems._experience.analytics.event501to600.event551.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event551.value,,number,,,
productListItems._experience.analytics.event501to600.event552.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event552.value,,number,,,
productListItems._experience.analytics.event501to600.event553.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event553.value,,number,,,
productListItems._experience.analytics.event501to600.event554.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event554.value,,number,,,
productListItems._experience.analytics.event501to600.event555.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event555.value,,number,,,
productListItems._experience.analytics.event501to600.event556.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event556.value,,number,,,
productListItems._experience.analytics.event501to600.event557.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event557.value,,number,,,
productListItems._experience.analytics.event501to600.event558.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event558.value,,number,,,
productListItems._experience.analytics.event501to600.event559.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event559.value,,number,,,
productListItems._experience.analytics.event501to600.event560.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event560.value,,number,,,
productListItems._experience.analytics.event501to600.event561.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event561.value,,number,,,
productListItems._experience.analytics.event501to600.event562.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event562.value,,number,,,
productListItems._experience.analytics.event501to600.event563.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event563.value,,number,,,
productListItems._experience.analytics.event501to600.event564.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event564.value,,number,,,
productListItems._experience.analytics.event501to600.event565.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event565.value,,number,,,
productListItems._experience.analytics.event501to600.event566.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event566.value,,number,,,
productListItems._experience.analytics.event501to600.event567.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event567.value,,number,,,
productListItems._experience.analytics.event501to600.event568.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event568.value,,number,,,
productListItems._experience.analytics.event501to600.event569.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event569.value,,number,,,
productListItems._experience.analytics.event501to600.event570.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event570.value,,number,,,
productListItems._experience.analytics.event501to600.event571.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event571.value,,number,,,
productListItems._experience.analytics.event501to600.event572.id,Unique Identifier,string,,,
productListItems._experience.analytics.event501to600.event572.value,,number,,,
